LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
0803840	64.9	29.7	27.0	29.7	24.3	13.5	-1.0	12	27544	29560	35861	37728	-1	32171
0803870	67.9	32.1	38.3	33.2	20.0	7.6	0.9	9	34163	37324	43458	49679	51116	38407
0803930	85.7	-1.0	50.0	0.0	21.4	28.6	0.0	13	28805	-2	34572	38456	-2	32798
0803960	50.5	49.5	22.9	14.3	25.7	32.4	4.8	15	31628	37485	41489	47498	44551	40755
0803990	48.0	51.9	29.2	21.3	29.0	16.2	4.3	12	34589	39289	49057	56149	61564	44442
0804020	69.9	30.1	48.9	18.0	13.5	14.3	5.3	10	30651	34988	41776	51207	59487	37394
0804050	61.9	38.1	25.4	21.2	31.7	18.0	3.7	13	29258	33997	39934	42907	43143	36620
0804080	61.7	38.3	40.1	21.9	19.9	15.6	2.6	10	34125	38686	45708	54651	53050	41112
0804110	83.3	16.7	38.9	-1.0	33.3	16.7	0.0	12	27894	-1	33545	38525	-2	31834
0804140	43.8	56.3	25.0	18.8	31.3	25.0	0.0	13	32775	34100	39320	45725	-2	38306
0804200	58.0	42.0	32.1	20.6	22.1	19.8	5.3	13	31974	35006	42152	50486	52261	39610
0804230	44.4	55.6	77.8	18.5	0.0	-1.0	0.0	3	38692	38740	-2	-1	-2	38703
0804260	62.3	37.7	40.3	21.1	22.4	14.3	1.9	10	37656	42352	48182	58764	59112	44438
0804290	83.3	16.7	-1.0	33.3	37.5	12.5	12.5	15	-1	30122	32867	35567	40500	32987
0804320	41.2	58.8	23.5	23.5	36.5	14.1	-1.0	12	31696	37972	43950	49954	-1	40910
0804350	48.4	51.4	19.5	20.9	31.0	23.2	5.4	15	31952	39701	47839	54132	55317	44896
0804380	68.3	31.7	35.0	18.3	28.3	15.0	-1.0	12	33253	40906	44336	49464	-1	40768
0804410	54.4	45.5	34.4	14.0	25.6	20.9	5.0	13	32723	35115	46118	58536	60290	43276
0804440	88.9	-1.0	-1.0	-1.0	-1.0	44.4	-1.0	19	-1	-1	-1	41121	-1	37714
0804470	40.4	59.6	14.9	27.2	37.7	19.3	-1.0	13	32077	34897	40162	47691	-1	39066
0804500	72.7	27.3	31.8	27.3	27.3	13.6	0.0	11	30592	35278	38745	40078	-2	35387
0804530	63.9	35.3	43.1	26.3	20.5	9.1	0.9	9	33001	38190	45080	51984	53568	38759
0804560	25.0	75.0	-1.0	-1.0	50.0	25.0	-1.0	16	-1	-1	34109	37930	-1	35131
0804590	43.3	56.7	16.7	16.7	40.0	16.7	10.0	15	33445	36664	40353	50538	51884	41438
0804620	62.5	37.5	-1.0	37.5	-1.0	-1.0	-1.0	12	-1	29153	-1	-1	-1	31776
0804650	50.0	50.0	0.0	-1.0	37.5	37.5	-1.0	20	-2	-1	41584	41730	-1	41243
0804680	69.2	30.8	34.6	15.4	23.1	15.4	11.5	13	27756	29675	30783	36542	34733	30906
0804710	87.5	12.5	29.2	16.7	20.8	20.8	12.5	15	33684	34638	38417	40272	41425	37169
0804740	90.9	-1.0	-1.0	36.4	36.4	-1.0	0.0	12	-1	29687	33300	-1	-2	31935
0804770	56.6	41.5	17.0	13.2	39.6	20.8	9.4	16	30788	35084	39476	43429	36211	37933
0804800	44.6	54.6	26.0	25.8	29.4	14.8	4.0	12	34632	44393	55144	63337	68173	48781
0804830	57.0	43.0	43.7	14.6	21.5	15.2	5.1	11	34083	39722	42644	50261	55085	40267
0804860	33.3	66.7	0.0	16.7	27.8	55.6	0.0	20	-2	33158	41414	43213	-2	41038
0804890	81.8	-1.0	36.4	36.4	-1.0	-1.0	0.0	9	28231	38373	-1	-1	-2	33720
0804920	73.8	25.4	55.6	18.3	12.7	11.9	-1.0	8	31780	36330	39334	48696	-1	35854
0804950	67.7	32.3	24.6	18.5	26.2	24.6	6.2	15	28644	32197	38930	42842	43690	36411
0804980	75.0	-1.0	0.0	-1.0	37.5	37.5	-1.0	21	-2	-1	26000	32330	-1	29029
0805010	91.3	-1.0	43.5	13.0	21.7	21.7	0.0	10	27950	31267	33800	39780	-2	32226
0805040	81.8	-1.0	-1.0	27.3	-1.0	-1.0	-1.0	16	-1	31974	-1	-1	-1	33984
0805070	78.8	21.2	27.3	24.2	30.3	9.1	9.1	14	32306	32547	37413	39532	47084	35912
0805100	78.2	20.5	24.4	19.2	34.6	15.4	6.4	13	32070	33806	40621	44625	48934	38376
0805130	65.0	34.0	25.0	17.0	35.0	16.0	7.0	14	28991	32650	39287	41094	41127	36003
0805160	82.4	17.6	29.4	29.4	29.4	-1.0	0.0	10	29500	32828	35400	-1	-2	33214
0805190	68.2	31.8	50.0	19.7	15.2	10.6	4.5	9	27450	29795	32547	39522	49481	30966
0805220	60.7	39.3	21.5	22.4	17.8	26.2	12.1	16	29205	33853	37492	41337	42392	36496
0805250	75.0	25.0	37.5	12.5	34.4	12.5	-1.0	12	27146	32999	35680	39279	-1	32665
0805280	85.3	14.7	11.8	29.4	38.2	17.6	-1.0	14	30084	32440	36677	40287	-1	35416
0805310	43.2	56.6	23.7	19.6	30.7	20.1	6.0	14	36695	44467	54496	60999	64871	50245
0805340	70.0	30.0	-1.0	30.0	40.0	-1.0	0.0	12	-1	31433	34725	-1	-2	33700
0805370	68.4	31.3	53.4	20.3	16.6	8.5	1.2	8	38092	43810	51848	59510	59903	43610
0805400	58.3	41.7	28.6	23.4	25.1	19.9	3.0	13	35303	39547	47038	55591	57042	43938
